Date,Open,High,Low,Close,Adj Close,Volume,Day
2022-04-05,60.82,61.16,56.860001,57.48,57.183212,86048800,1043
2022-04-06,54.82,55.369999,52.400002,53.700001,53.422729,148429900,1044
2022-04-07,53.23,55.09,51.580002,54.049999,53.770924,114827000,1045
2022-04-08,53.220001,53.59,51.5,51.84,51.572334,102091200,1046
2022-04-11,49.830002,50.27,47.950001,48.16,47.911335,92957300,1047
2022-04-12,50.16,50.98,46.889999,47.540001,47.294537,123964100,1048
2022-04-13,47.66,50.84,47.330002,50.389999,50.129822,95042300,1049
2022-04-14,50.419998,50.650002,46.830002,47,46.757324,83921800,1050
2022-04-18,46.470001,48.009998,45.82,47.130001,46.886654,87762700,1051
2022-04-19,46.73,50.419998,46.310001,50.16,49.901009,86186300,1052
2022-04-20,50.57,50.740002,47.439999,47.900002,47.652679,107814700,1053
2022-04-21,49.639999,50.77,44.59,45.09,44.857185,134313200,1054
2022-04-22,45.049999,45.57,41.279999,41.509998,41.29567,124412400,1055
2022-04-25,40.810001,43.16,40.310001,43.049999,42.827717,166439400,1056
2022-04-26,42.220001,42.290001,38.099998,38.209999,38.012711,166131600,1057
2022-04-27,38.169998,40.220001,37.369999,38.040001,37.84359,158349300,1058
2022-04-28,39.830002,42.73,38.279999,42.060001,41.842831,172349200,1059
2022-04-29,40.389999,41.77,36.200001,36.529999,36.341385,160058400,1060
2022-05-02,36.25,38.279999,35.130001,38.25,38.052502,155952800,1061
2022-05-03,38.189999,39.169998,37.299999,38.34,38.14204,142782800,1062
2022-05-04,38.490002,42.450001,36.529999,42.139999,41.922417,219403400,1063
2022-05-05,40.5,40.509998,34.52,35.860001,35.674843,227776300,1064
2022-05-06,35.09,36.529999,33.099998,34.610001,34.431297,233397200,1065
2022-05-09,32.560001,33.419998,30.01,30.52,30.362415,210209900,1066
2022-05-10,32.720001,33.080002,30.280001,31.57,31.406994,231789800,1067
2022-05-11,30.85,32.599998,28.469999,28.76,28.611504,264765900,1068
2022-05-12,27.43,29.889999,26.690001,28.530001,28.382692,295496500,1069
2022-05-13,29.85,32,29.379999,31.629999,31.466684,197974000,1070
2022-05-16,31.129999,31.780001,30.18,30.65,30.491745,159194000,1071
2022-05-17,32.43,33.080002,31.24,32.959999,32.789818,153990700,1072
2022-05-18,31.459999,31.690001,27.690001,28.15,28.004652,164052600,1073
2022-05-19,27.540001,29.02,27.040001,27.58,27.437595,196007800,1074
2022-05-20,28.65,28.84,24.93,27.34,27.198835,229055600,1075
2022-05-23,27.65,28.83,26.959999,28.690001,28.541864,170520300,1076
2022-05-24,27.15,27.360001,25.43,26.9,26.761106,183244300,1077
2022-05-25,26.440001,28.6,26.389999,27.98,27.835529,180641900,1078
2022-05-26,27.76,30.780001,27.68,30.32,30.163448,168565800,1079
2022-05-27,31.299999,33.34,31.27,33.290001,33.118114,157517900,1080
2022-05-31,33.299999,34,31.73,33.049999,32.879353,184579300,1081
2022-06-01,33.709999,34.43,31.549999,32.279999,32.113327,199447100,1082
2022-06-02,31.92,34.98,31.450001,34.900002,34.719803,168430700,1083
2022-06-03,33.139999,33.630001,31.76,32.139999,31.974051,162361900,1084
2022-06-06,33.619999,34.130001,32,32.540001,32.371986,150479300,1085
2022-06-07,31.42,33.599998,31.049999,33.330002,33.157909,137443300,1086
2022-06-08,33.080002,33.939999,32.330002,32.650002,32.481419,112853000,1087
2022-06-09,32.07,33.060001,29.93,29.99,29.835152,137979700,1088
2022-06-10,28.26,28.620001,26.67,26.790001,26.651676,171676100,1089
2022-06-13,24.27,24.98,22.82,23.08,22.960831,213365700,1090
2022-06-14,23.639999,23.870001,22.52,23.23,23.110056,196600500,1091
2022-06-15,24.059999,25.92,23.34,24.9,24.771433,274911500,1092
2022-06-16,22.99,23.120001,21.32,21.860001,21.747131,212142200,1093
2022-06-17,22.07,23.280001,21.65,22.67,22.552948,220590500,1094
2022-06-21,23.82,24.98,23.780001,24.379999,24.254118,159204100,1095
2022-06-22,23.709999,25.450001,23.549999,24.290001,24.164583,194486800,1096
2022-06-23,24.940001,25.57,24.17,25.33,25.199213,182686400,1097
2022-06-24,26.110001,28.040001,26.049999,27.98,27.835529,151817500,1098
2022-06-27,28.35,28.5,27,27.32,27.178938,169131000,1099
2022-06-28,27.459999,28.209999,24.76,24.83,24.701796,186870800,1100
2022-06-29,24.780001,25.290001,24.1,24.879999,24.751535,190091100,1101
2022-06-30,24.059999,24.889999,22.75,24,23.87608,256203900,1102
2022-07-01,23.6,24.5,23.1,24.389999,24.264067,208600400,1103
2022-07-05,23.41,25.68,23,25.65,25.517561,220554000,1104
2022-07-06,25.77,26.719999,25.280001,26.139999,26.00503,206122900,1105
2022-07-07,26.379999,28,26.370001,27.76,27.616667,137866300,1106
2022-07-08,26.99,28.309999,26.709999,27.889999,27.745995,159729200,1107
2022-07-11,27.200001,27.27,25.860001,26.110001,25.975187,129224100,1108
2022-07-12,26.440001,26.98,24.91,25.35,25.21911,159616500,1109
2022-07-13,23.84,25.83,23.690001,25.190001,25.059937,180575500,1110
2022-07-14,24.469999,25.68,23.620001,25.450001,25.318594,175823500,1111
2022-07-15,26.27,26.85,25.809999,26.790001,26.651676,154380200,1112
2022-07-18,27.610001,28,25.82,26.17,26.034876,159950200,1113
2022-07-19,27.15,28.620001,26.690001,28.459999,28.313051,149321700,1114
2022-07-20,28.66,30.25,28.440001,29.889999,29.735668,188563100,1115
2022-07-21,30.01,31.18,29.219999,31.16,30.999111,159690900,1116
2022-07-22,30.879999,31.530001,28.950001,29.530001,29.377527,149400400,1117
2022-07-25,29.530001,29.67,28.41,29.09,28.9398,110448800,1118
2022-07-26,28.49,28.57,27.049999,27.33,27.188887,115877800,1119
2022-07-27,28.6,31.25,28.43,30.74,30.58128,170959500,1120
2022-07-28,30.68,31.82,29.52,31.620001,31.456738,162035900,1121
2022-07-29,32.130001,33.650002,31.67,33.360001,33.187752,146073200,1122
2022-08-01,32.779999,34.419998,32.439999,33.310001,33.138012,142641500,1123
2022-08-02,32.540001,34.349998,32.209999,33,32.829609,162687500,1124
2022-08-03,33.549999,35.950001,33.310001,35.639999,35.455978,147106900,1125
2022-08-04,35.689999,36.27,34.959999,36.150002,35.963348,126783600,1126
2022-08-05,34.43,35.98,34.150002,35.290001,35.107788,141949300,1127
2022-08-08,35.599998,36.830002,34.439999,34.93,34.749645,133893900,1128
2022-08-09,34.279999,34.369999,33.189999,33.73,33.55584,109203000,1129
2022-08-10,36.139999,36.639999,35.310001,36.5,36.311539,135777200,1130
2022-08-11,37.330002,38.02,35.669998,35.950001,35.764381,136680500,1131
2022-08-12,36.599998,38.049999,36.240002,37.98,37.783897,105593500,1132
2022-08-15,37.650002,39.080002,37.639999,38.889999,38.689198,98154200,1133
2022-08-16,38.560001,39.380001,37.529999,38.639999,38.440491,110377900,1134
2022-08-17,37.509998,38.330002,36.549999,37.299999,37.107407,131419200,1135
2022-08-18,37.259998,37.959999,36.689999,37.549999,37.356117,96070400,1136
2022-08-19,36.48,36.700001,35.07,35.349998,35.167477,112128300,1137
2022-08-22,33.889999,33.970001,32.259998,32.57,32.401829,112487700,1138
2022-08-23,32.43,33.349998,32.200001,32.459999,32.292397,109754900,1139
2022-08-24,32.299999,33.299999,32.099998,32.709999,32.541107,93502800,1140
2022-08-25,33.279999,34.439999,32.939999,34.43,34.252228,111026300,1141
